R,V,E
472,226297938272,-86324.96157836914
473,228221579472,-328246.6502685547
474,230158691136,659303.5108032227
475,232106679040,230287.89471435547
476,234067144672,-65728.5523071289
477,236040510976,142165.68908691406
478,238026029872,53748.711364746094
479,240023754672,-329918.81982421875
480,242034896464,149890.33416748047
481,244057672064,-342478.0148010254
482,246094545392,604316.5182495117
483,248142825840,246976.89138793945
484,250204314944,334240.63583374023
485,252278308544,109039.8558959961
486,254366267936,979653.2290039062
487,256464846320,-453845.99423217773
488,258577843360,-445029.9901123047
489,260704422464,116163.63809204102
490,262844169568,762215.8604125977
491,264995111440,-533669.7801818848
492,267160958928,-114319.1674194336
493,269339433168,-312379.6120605469
494,271532770096,1054192.148284912
495,273738021184,982865.9492492676
496,275956184880,417978.19940185547
497,278187786128,-169748.11938476562
498,280433869248,209676.54779052734
499,282692687952,-244475.67114257812
500,284965694224,-134770.07495117188
501,287252985008,581078.6105957031
502,289552292656,-419345.76708984375
503,291866227840,-580248.7874755859
504,294195175968,428790.5430908203
505,296536395760,-188604.20867919922
506,298893213920,839065.0971069336
507,301261959408,-214556.82653808594
508,303646123680,86561.30651855469
509,306043766336,-253514.64453125
510,308456847936,670131.7528076172
511,310882809952,243219.50384521484
512,313323037504,-204993.8126220703
513,315778533088,272015.9549560547
514,318248351392,672855.5316162109
515,320731407488,-143593.78479003906
516,323230220816,285807.8768310547
517,325742518896,-367829.03924560547
518,328270637248,174496.48431396484
519,330812998112,278396.03790283203
520,333369395696,-318660.21478271484
521,335941222416,-281103.537109375
522,338528664032,519869.3807373047
523,341129147776,-545575.5782470703
524,343746424176,215914.0419921875
525,346378636640,890461.270690918
526,349025130912,766415.7100830078
527,351685822064,-298654.4644165039
528,354362905808,-166650.50415039062
529,357055227456,-49983.08752441406
530,359763174112,380619.6803588867
531,362485893856,215296.26733398438
532,365223648944,-341748.28552246094
533,367977724736,-63314.364013671875
534,370748417536,1288632.219116211
535,373531552656,-518975.77575683594
536,376332729104,54380.98486328125
537,379149679344,682568.4077758789
538,381980884656,-211841.02728271484
539,384829168240,135535.732421875
540,387693090704,226380.3130493164
541,390572334096,-316295.0862426758
542,393468478080,28028.306762695312
543,396380286272,-36288.162536621094
544,399308779856,452575.42431640625
545,402252369792,-153894.4409790039
546,405214305776,1334415.306213379
547,408188967536,-762459.6961669922
548,411182362320,-497073.23712158203
549,414192662784,243319.46746826172
550,417219662240,1192009.7747802734
551,420260582480,-489340.38470458984
552,423320122368,-162106.50762939453
553,426395971584,-196957.51739501953
554,429489381424,596944.2357788086
555,432599423712,1230854.9747314453
556,435724790112,335761.4953613281
557,438866921184,-708562.833190918
558,442028027008,247065.93127441406
559,445205142272,176330.30407714844
560,448399262528,13667.373657226562
561,451611436016,746092.8016357422
562,454839518080,167616.8226928711
563,458084961520,-330403.7554321289
564,461348992384,416526.44830322266
565,464628972640,-291286.6120605469
566,467928425200,1007297.5905761719
567,471243638608,538942.1564941406
568,474575809984,-561223.2406616211
569,477926595360,-699266.3546142578
570,481297441056,1508923.6345214844
571,484682168064,-177979.88061523438
572,488086172528,-426260.93408203125
573,491508709008,-43896.98681640625
574,494949451600,580561.0733642578
575,498406338032,-677915.0682983398
576,501883231632,-18863.15350341797
577,505376829648,-808010.3505249023
578,508890505264,264742.74505615234
579,512421825312,703034.1111450195
580,515970161872,-184359.7012939453
581,519538395424,419628.4315185547
582,523124529872,455380.2067260742
583,526728210976,-494976.1051635742
584,530352829088,895170.3389282227
585,533995078432,1256192.9556884766
586,537655079072,644195.7347412109
587,541333148608,-687290.7614135742
588,545031953600,-135885.39672851562
589,548749423200,163275.53784179688
590,552485639408,227794.32421875
591,556241154016,544955.8177490234
592,560014746736,-170144.55322265625
593,563807530928,-868872.7873535156
594,567622988368,1865711.6899414062
595,571453097328,-53063.973388671875
596,575305184080,636017.9432373047
597,579175429312,48481.73388671875
598,583065968480,254510.2655029297
599,586975068784,-544079.021484375
600,590904991584,-151418.11389160156
601,594854128560,-241428.42529296875
602,598823072064,-287468.7960205078
603,602812191344,13888.50634765625
604,606821049600,159913.78784179688
605,610849546896,-15368.072631835938
606,614899542448,1281110.376953125
607,618967138464,85299.16162109375
608,623055333424,-670689.1201171875
609,627166380768,1200108.7030029297
610,631295849760,1200370.3757324219
611,635444347040,-129959.78454589844
612,639614701664,-28630.886962890625
613,643804215648,-1260541.4676513672
614,648017519264,737556.5106201172
615,652249980368,1266385.6577148438
616,656501262048,-78208.84289550781
617,660773914096,-813787.2349853516
618,665069133168,188844.81103515625
619,669383144304,-912843.8022460938
620,673720277392,143354.40100097656
621,678077603312,360529.4696044922
622,682455678880,227598.0255126953
623,686854641296,-186248.7362060547
624,691275694272,254582.9530029297
625,695717519888,163945.43408203125
626,700181900064,1255421.6218261719
627,704665588096,213861.00366210938
628,709171994048,380771.6403808594
629,713698740032,-690399.8342285156
630,718250171664,1277187.7868652344
631,722819762320,-311973.71630859375
632,727412951520,-87357.99047851562
633,732027942528,85195.890625
634,736665826480,1227611.4265136719
635,741323448000,115190.68981933594
636,746004570432,441846.3259277344
637,750706777152,-278586.44592285156
638,755432988768,804850.166015625
639,760180542576,959692.5268554688
640,764949299472,-23032.42529296875
641,769740876032,-596727.1791992188
642,774555575360,-528375.6502685547
643,779392289712,-995919.1810302734
644,784253843808,755055.4592285156
645,789136658032,1074516.07421875
646,794041558400,717953.041015625
647,798968324400,-605780.6905517578
648,803919868512,-54949.59716796875
649,808893805792,-85351.58264160156
650,813891685376,781186.0224609375
651,818912704848,1671174.460571289
652,823953509616,-841160.4523925781
653,829019973504,-953286.3280029297
654,834113440464,2607347.7958984375
655,839223478864,-662400.5458984375
656,844361005968,83112.7548828125
657,849521487104,237486.37939453125
658,854704688544,-504846.4178466797
659,859912173456,-652665.8095703125
660,865144230304,10434.60498046875
661,870398716080,-730720.2003173828
662,875678952480,373289.3211669922
663,880982485856,796429.2895507812
664,886309504000,653996.3978271484
665,891660893280,759753.9123535156
666,897037836480,2223771.6723632812
667,902435366560,6186.0904541015625
668,907858840576,-608879.8480224609
669,913309097856,1144859.4157714844
670,918781510656,566508.0139160156
671,924277908864,-587307.3489990234
