R,V,E
714,975795339776362,2092485723.875
715,982646848185932,1147165869.375
716,989539439501572,2841927023.875
717,996466982651422,884173168.625
718,1003436302978824,1937271671.25
719,1010443473920114,1912230447.125
720,1017490859028794,3009721500.0
721,1024574967507876,1575612635.5
722,1031700432453356,2079210303.375
723,1038863732190238,834594991.125
724,1046070102960798,2913308856.625
725,1053312692632718,1298063231.125
726,1060598148481518,2470520420.25
727,1067921495431408,1289533925.0
728,1075288244633888,3099726410.75
729,1082691816632680,1154654008.25
730,1090139573148290,2648590244.5
731,1097625554879500,1454326903.875
732,1105155333553412,2975223440.375
733,1112723387346022,1520626922.125
734,1120335114710872,2319700050.75
735,1127986033637272,720678753.5
736,1135682666972424,3076193675.0
737,1143417453247914,1654096040.25
738,1151196154408986,2045186295.0
739,1159016473202196,1780601130.5
740,1166880891279196,3169916636.5
741,1174784629630198,1261581133.25
742,1182733797120368,1991450935.0
743,1190724383920938,1176220831.0
744,1198761290922578,3542836826.5
745,1206836869776108,1268536223.25
746,1214959848602958,2906557449.25
747,1223123012216910,1066361169.5
748,1231333966891950,3178397506.25
749,1239585341798040,1695541181.0
750,1247882874641472,2178731236.5
751,1256223985819642,1871125180.75
752,1264611251142842,3170820147.0
753,1273039726301732,955319735.75
754,1281517157933254,2792599296.0
755,1290036677757344,1635242009.0
756,1298604465544104,3483405426.25
757,1307213965590714,1601297752.25
758,1315871723179524,2353635305.0
759,1324573405677486,1226741317.0
760,1333324425948566,3451957716.5
761,1342117811567336,1874858088.0
762,1350959235186466,1985614533.0
763,1359846742550348,1647010663.75
764,1368783215978508,3557924384.0
